job ID,task index,timestamp,missing info,machine ID,event type,user,scheduling class,priority
6272076905,0, 163027215040, NULL,NULL,0,Gx2a4JlY7sTN3Jiqp...,3,10
6272076905,0,1347760079184, NULL,4820073668,3,Gx2a4JlY7sTN3Jiqp...,3,10
6272076905,0, 163059602676, NULL,4820073668,1,Gx2a4JlY7sTN3Jiqp...,3,10
6272076905,0,1347760079195, NULL,NULL,0,Gx2a4JlY7sTN3Jiqp...,3,10
6272076905,0,1347790444482, NULL, 257347123,1,Gx2a4JlY7sTN3Jiqp...,3,10
6295212302, 67,1976031581791, NULL,1334665910,5,tjYrEWcPX1rXEj2HG...,2,9
6400512805, 15,1738692084650, NULL,4802098790,5,oPxcKd7feXmw+sZKr...,0,9
6184860354, 93,1555812792691, NULL,4821070690,5,y9NKAC+Ud/LMV2fx5...,2,9
4811385404, 55,1613481994734, NULL,3889402292,5,rNyxTd1B3RnDJBIof...,3,9
6184860354,273,1555813485370, NULL,4820235500,5,y9NKAC+Ud/LMV2fx5...,2,9