job ID,task index,average_cpu_rate
6210686295,115,9.135018315864727
5115856683,12,4.14795548300026
6000622471,16,1.2118503998654584
6210686295,72,1.2022168225958012
6000622471,2,1.1960032834322192
6210686295,110,1.090427543153055
6000622646,30,1.0567158031687875
6000619150,5,1.0038247148999397
6000619150,58,0.8901584565639495
6000622646,44,0.8730517601156059
4811385404,55,2.314707846955999
6295212302,67,1.6543118150597862
6295201188,78,1.3711346668501696
6184860354,233,0.6114499997347593
6238840043,167,0.6112993460569885
6184860354,132,0.5874687507748604
6184860354,233,0.5664588248028475
6184860354,98,0.5617941131486612
6184860354,273,0.557211763718549
6184860354,132,0.5571000017225742
6378189326,66,0.8447499871253967
6184860354,93,0.591458830763312
6184860354,273,0.5861646988812614
6184860354,273,0.5777062531560659
6184860354,273,0.5687882321722367
6184860354,273,0.5622476540944156
6184860354,273,0.5521117703003042
6184860354,178,0.5506058808635262
6184860354,73,0.5503999980933526
6272076905,0,0.5464117632192724
6419322512,10645,6.991486268786026
6400512805,15,0.5457125008106232
6419322512,1298,0.520706854270477
6400512805,15,0.5153999994782841
6417105216,379,0.4882882360149832
6417105216,176,0.47677647015627694
6417105216,165,0.46259999976438637
6417105216,238,0.4624470542458927
6397857072,835,0.4620382891535931
6417105216,429,0.4584999978542328
6476563684,292,0.8804064191564724
6461556873,990,0.8622988969501522
6440307320,924,0.6983375016134232
6461556873,1423,0.497525708217706
6464224372,126,0.4833941161632538
6464224372,63,0.4811588210218093
6464224372,199,0.4807125013321638
6464224372,312,0.4796999973409316
6464224372,126,0.4796937480568886
6464224372,50,0.47909411787986755